"n","method","replication","beta_1"
100,"Two-step",109,1.48869148638901
100,"Two-step",110,1.89617472103204
100,"Two-step",111,2.01751991448388
100,"Two-step",112,1.66684941609328
100,"Two-step",113,1.35180959180491
100,"Two-step",114,1.82398921039417
100,"Two-step",115,1.24564460428905
100,"Two-step",116,1.09328244520235
100,"Two-step",117,1.80210846236747
100,"Two-step",118,1.01782522234645
100,"Two-step",119,1.3913645138557
100,"Two-step",120,1.47153283636465
100,"Two-step",121,0.999464401887613
100,"Two-step",122,1.94284084686119
100,"Two-step",123,1.12563113941744
100,"Two-step",124,1.54198434153089
100,"Two-step",125,1.51397231727352
100,"Two-step",126,1.90494993352654
100,"Two-step",127,1.24477178266214
100,"Two-step",128,1.2724905085387
100,"Two-step",129,1.92459490317947
100,"Two-step",130,1.75021093747179
100,"Two-step",131,1.3540195833073
100,"Two-step",132,1.53338055612415
100,"Two-step",133,1.41380489701901
100,"Two-step",134,2.30959391324531
100,"Two-step",135,1.94993276892164
100,"Two-step",136,1.111549931215
100,"Two-step",137,1.48907742162186
100,"Two-step",138,1.1490243409075
100,"Two-step",139,1.21883253717472
100,"Two-step",140,1.78018563330791
100,"Two-step",141,1.11275016754311
100,"Two-step",142,1.97640807562688
100,"Two-step",143,1.30646244174842
100,"Two-step",144,1.28357774603891
100,"Two-step",145,1.03267234425348
100,"Two-step",146,1.6156032696005
100,"Two-step",147,1.11731870405705
100,"Two-step",148,0.969771402639163
100,"Two-step",149,1.67778124143807
100,"Two-step",150,2.10041134649837
100,"Two-step",151,1.61295152699259
100,"Two-step",152,1.69215824689755
100,"Two-step",153,1.73824860030711
100,"Two-step",154,2.02351377976508
100,"Two-step",155,1.77835573703185
100,"Two-step",156,1.27842853435348
100,"Two-step",157,1.11734608134646
100,"Two-step",158,1.69191846055135
100,"Two-step",159,1.48287594385328
100,"Two-step",160,1.40005046609122
100,"Two-step",161,1.96874496794875
100,"Two-step",162,1.2909577585389
100,"Two-step",163,1.13430220128244
100,"Two-step",164,1.36639781769161
100,"Two-step",165,2.12841456650645
100,"Two-step",166,1.55384299148748
100,"Two-step",167,1.2378988362899
100,"Two-step",168,1.55488453313123
100,"Two-step",169,1.91605105406926
100,"Two-step",170,1.34275380224656
100,"Two-step",171,1.33121285269413
100,"Two-step",172,2.17213086417378
100,"Two-step",173,1.68701060241437
100,"Two-step",174,0.970449157738921
100,"Two-step",175,1.17429202044148
100,"Two-step",176,1.77723228292837
100,"Two-step",177,1.13065142275082
100,"Two-step",178,1.40257227730067
100,"Two-step",179,1.84646190334968
100,"Two-step",180,1.49821228225622
100,"Two-step",181,1.13992678184208
100,"Two-step",182,1.70799787274131
100,"Two-step",183,1.39687994710645
100,"Two-step",184,1.47077606364763
100,"Two-step",185,1.90379491770816
100,"Two-step",186,1.52212614645692
100,"Two-step",187,1.38717980581232
100,"Two-step",188,1.71174672081922
100,"Two-step",189,1.49559112508618
100,"Two-step",190,1.41904064559364
100,"Two-step",191,2.54132169992841
100,"Two-step",192,1.138461975263
100,"Two-step",193,1.35237395752097
100,"Two-step",194,1.59951854056669
100,"Two-step",195,1.80100745461656
100,"Two-step",196,1.75939699437085
100,"Two-step",197,1.57403878515029
100,"Two-step",198,2.32398929803733
100,"Two-step",199,1.13176511620159
100,"Two-step",200,1.42249896550308
100,"Two-step",201,1.27110532024134
100,"Two-step",202,1.15411009484103
100,"Two-step",203,1.66825881316279
100,"Two-step",204,1.29031740702118
100,"Two-step",205,2.09516740589441
100,"Two-step",206,1.81089134527521
100,"Two-step",207,1.76912669497571
100,"Two-step",208,1.6311593486793
100,"Two-step",209,1.5067396054939
100,"Two-step",210,1.73629113197575
100,"Two-step",211,1.21251286948165
100,"Two-step",212,1.13761442722851
100,"Two-step",213,1.77413505917966
100,"Two-step",214,1.38230149331043
100,"Two-step",215,1.66983411988363
100,"Two-step",216,1.35091583404304
100,"Two-step",217,1.26735632722284
100,"Two-step",218,1.66643639502779
100,"Two-step",219,1.94966238950821
100,"Two-step",220,1.57639664506973
100,"Two-step",221,1.41624979270157
100,"Two-step",222,1.24715729608071
100,"Two-step",223,1.60585419696864
100,"Two-step",224,1.33876378019637
100,"Two-step",225,1.78261159404644
100,"Two-step",226,1.26097010921081
100,"Two-step",227,2.24956468773644
100,"Two-step",228,1.49003285178569
100,"Two-step",229,2.18694433935865
100,"Two-step",230,1.26057501211223
100,"Two-step",231,1.43056101204851
100,"Two-step",232,1.59669993828371
100,"Two-step",233,1.21362206549504
100,"Two-step",234,1.78298504700567
100,"Two-step",235,1.54934494128289
100,"Two-step",236,1.6779257203374
100,"Two-step",237,1.85190021560335
100,"Two-step",238,1.41814765947826
100,"Two-step",239,1.254305508784
100,"Two-step",240,1.59023621263786
100,"Two-step",241,1.31461989717166
100,"Two-step",242,1.61574426095844
100,"Two-step",243,1.89396467486556
100,"Two-step",244,1.45040890916076
100,"Two-step",245,0.927531095597336
100,"Two-step",246,1.7190408175846
100,"Two-step",247,1.87755685511072
100,"Two-step",248,1.31852817111428
100,"Two-step",249,1.76718112910361
100,"Two-step",250,1.33632950263447
100,"Two-step",251,1.43183266107524
100,"Two-step",252,1.29170989755317
100,"Two-step",253,1.54994616602473
100,"Two-step",254,2.98733754286459
100,"Two-step",255,1.72114303735491
100,"Two-step",256,1.88104143778125
100,"Two-step",257,2.01545957598128
100,"Two-step",258,1.88943537486441
100,"Two-step",259,2.35799228031862
100,"Two-step",260,2.59986571737071
100,"Two-step",261,1.51415435884127
100,"Two-step",262,1.49140127261386
100,"Two-step",263,1.3423420521332
100,"Two-step",264,1.18241969303135
100,"Two-step",265,1.70791743455119
100,"Two-step",266,1.83963930941205
100,"Two-step",267,1.77014277281855
100,"Two-step",268,1.3212603273825
100,"Two-step",269,1.46379580617007
100,"Two-step",270,1.86955167399708
100,"Two-step",271,1.55956468983801
100,"Two-step",272,1.48507111057353
100,"Two-step",273,1.5606412498105
100,"Two-step",274,1.378580183658
100,"Two-step",275,1.15361128167607
100,"Two-step",276,2.03960097418949
100,"Two-step",277,1.22402723127122
100,"Two-step",278,1.19918471507549
100,"Two-step",279,1.50611383075462
100,"Two-step",280,2.06536904400637
100,"Two-step",281,1.65694764519459
100,"Two-step",282,2.02236380699044
100,"Two-step",283,0.976323864053557
100,"Two-step",284,1.29678849128779
100,"Two-step",285,1.32270689808514
100,"Two-step",286,1.67779373877735
100,"Two-step",287,1.16648272935808
100,"Two-step",288,1.90985632075615
100,"Two-step",289,1.05463068730433
100,"Two-step",290,1.74745871417357
100,"Two-step",291,1.4276043222779
100,"Two-step",292,1.76572441591901
100,"Two-step",293,1.37730617453756
100,"Two-step",294,1.9590480241752
100,"Two-step",295,1.9463667248723
100,"Two-step",296,2.30304892914672
100,"Two-step",297,1.98056713884596
100,"Two-step",298,2.1630785279762
100,"Two-step",299,1.18070354931635
100,"Two-step",300,1.5202436781131
100,"Two-step",301,1.21474698875784
100,"Two-step",302,1.44846118916162
100,"Two-step",303,1.61751811771624
100,"Two-step",304,1.33881014355841
100,"Two-step",305,1.48125423009202
100,"Two-step",306,1.8880209925735
100,"Two-step",307,1.4460822904499
100,"Two-step",308,1.55069570931058
100,"Two-step",309,1.32069736284078
100,"Two-step",310,1.5861053580127
100,"Two-step",311,1.83841088005408
100,"Two-step",312,1.53096153559361
100,"Two-step",313,1.41997261241857
100,"Two-step",314,1.29204500135482
100,"Two-step",315,1.79960206582357
100,"Two-step",316,1.61483505058557
100,"Two-step",317,0.870218377944672
100,"Two-step",318,1.69854073139012
100,"Two-step",319,1.7431905696113
100,"Two-step",320,1.82006416492066
100,"Two-step",321,1.45069887974865
100,"Two-step",322,1.55106478555292
100,"Two-step",323,1.78511959157907
100,"Two-step",324,1.68779483306037
100,"Two-step",325,1.51802566602939
100,"Two-step",326,1.45849566208418
100,"Two-step",327,2.26179495635797
100,"Two-step",328,2.23329703573033
100,"Two-step",329,1.65248597702327
100,"Two-step",330,1.08088745618198
100,"Two-step",331,1.86683862440693
100,"Two-step",332,1.57601375526507
100,"Two-step",333,1.91281070276738
100,"Two-step",334,1.12552015462531
100,"Two-step",335,1.58189612617574
100,"Two-step",336,1.31446135711076
100,"Two-step",337,1.2180289192099
100,"Two-step",338,1.95238829588888
100,"Two-step",339,1.07887299343911
100,"Two-step",340,1.71391694705149
100,"Two-step",341,1.62245412687626
100,"Two-step",342,1.95515240436336
100,"Two-step",343,1.40254779853656
100,"Two-step",344,1.31917429357268
100,"Two-step",345,1.80757584638166
100,"Two-step",346,1.51078286536326
100,"Two-step",347,1.60823079035494
100,"Two-step",348,1.22277752678881
100,"Two-step",349,1.45218611280906
100,"Two-step",350,1.52532111791501
100,"Two-step",351,1.06906511810719
100,"Two-step",352,1.69412453534061
100,"Two-step",353,2.01407395876172
100,"Two-step",354,1.59039709523377
100,"Two-step",355,2.24879392835546
100,"Two-step",356,1.86166163805677
100,"Two-step",357,1.71559978189332
100,"Two-step",358,1.31100591018609
100,"Two-step",359,1.14869616642016
100,"Two-step",360,1.41628473341738
100,"Two-step",361,1.98925998539879
100,"Two-step",362,1.518299962878
100,"Two-step",363,2.18002841373101
100,"Two-step",364,1.72151744055025
100,"Two-step",365,1.93978981662596
100,"Two-step",366,1.82412907519985
100,"Two-step",367,1.7303682430305
100,"Two-step",368,1.48916708117255
100,"Two-step",369,1.32489007019601
100,"Two-step",370,1.2702218965552
100,"Two-step",371,1.78605336712988
100,"Two-step",372,1.27847253776807
100,"Two-step",373,1.89732646147852
100,"Two-step",374,1.45894441635355
100,"Two-step",375,1.96943706487776
100,"Two-step",376,1.1911634333113
100,"Two-step",377,1.33731375445888
100,"Two-step",378,1.57689593723096
100,"Two-step",379,1.5474869805849
100,"Two-step",380,1.13529107219033
100,"Two-step",381,0.948577656454771
100,"Two-step",382,1.65920532429527
100,"Two-step",383,1.99650473328273
100,"Two-step",384,0.895098124891045
100,"Two-step",385,1.40833095877973
100,"Two-step",386,2.72507764413547
100,"Two-step",387,1.86013440323828
100,"Two-step",388,1.69468262382095
100,"Two-step",389,1.65544218850196
100,"Two-step",390,1.01161967108639
100,"Two-step",391,1.01319871464476
100,"Two-step",392,1.301054437362
100,"Two-step",393,1.25587595098201
100,"Two-step",394,1.71693864643987
100,"Two-step",395,1.35578988635497
100,"Two-step",396,1.51160400753912
100,"Two-step",397,1.89367954813812
100,"Two-step",398,2.01269306137632
100,"Two-step",399,1.25422830389984
100,"Two-step",400,1.2729311474604
100,"Two-step",401,1.422013473377
100,"Two-step",402,1.74388733252694
100,"Two-step",403,1.53190219846577
100,"Two-step",404,1.50639891571617
100,"Two-step",405,1.12686072805994
100,"Two-step",406,1.78939999804032
100,"Two-step",407,1.74676873686033
100,"Two-step",408,1.92195236366715
100,"Two-step",409,1.83226426409559
100,"Two-step",410,1.21679636250044
100,"Two-step",411,1.65049291026352
100,"Two-step",412,1.94684689633591
100,"Two-step",413,1.72133745419903
100,"Two-step",414,1.76096154656169
100,"Two-step",415,1.19770544301224
100,"Two-step",416,1.68325039108001
100,"Two-step",417,2.07318153075305
100,"Two-step",418,1.8890844229167
100,"Two-step",419,1.15827231453758
100,"Two-step",420,1.46148469427338
100,"Two-step",421,1.23784437883487
100,"Two-step",422,1.49461182225363
100,"Two-step",423,1.51433659147623
100,"Two-step",424,1.72598479700533
100,"Two-step",425,1.57300484181173
100,"Two-step",426,2.09747521755016
100,"Two-step",427,1.38386138496165
100,"Two-step",428,1.36024905604999
100,"Two-step",429,1.20961151808319
100,"Two-step",430,2.15683511871745
100,"Two-step",431,1.37721329761992
100,"Two-step",432,1.87921789920368
100,"Two-step",433,1.91331001957811
100,"Two-step",434,1.58835565766045
100,"Two-step",435,1.84432640149631
100,"Two-step",436,2.11600084917597
100,"Two-step",437,1.69909643000157
100,"Two-step",438,1.4471767911313
100,"Two-step",439,1.48118044923692
100,"Two-step",440,1.27387257746183
100,"Two-step",441,1.34894090590744
100,"Two-step",442,1.84129683446785
100,"Two-step",443,1.12095818742232
100,"Two-step",444,1.17210010314733
100,"Two-step",445,1.44992347596569
100,"Two-step",446,1.93837424370299
100,"Two-step",447,2.58850673070236
100,"Two-step",448,1.95988996430248
100,"Two-step",449,1.37761278793397
100,"Two-step",450,1.91216454158512
100,"Two-step",451,1.45297162785119
100,"Two-step",452,1.67512824943759
100,"Two-step",453,1.10977969233929
100,"Two-step",454,1.32459194583995
100,"Two-step",455,2.03548435816988
100,"Two-step",456,1.24293932100972
100,"Two-step",457,1.25222046384897
100,"Two-step",458,1.24767918619576
100,"Two-step",459,1.28818805972807
100,"Two-step",460,1.82806494650514
100,"Two-step",461,1.78358110613378
100,"Two-step",462,1.55283037763978
100,"Two-step",463,1.52773489791386
100,"Two-step",464,1.25919745289362
100,"Two-step",465,1.4783894321608
100,"Two-step",466,1.60026404552854
100,"Two-step",467,1.20499847032989
100,"Two-step",468,1.56368753080938
100,"Two-step",469,1.51253304504924
100,"Two-step",470,1.51349487703218
100,"Two-step",471,1.59253128106286
100,"Two-step",472,1.9647007455671
100,"Two-step",473,1.88768026341645
100,"Two-step",474,1.47140689325745
100,"Two-step",475,2.31148549328651
100,"Two-step",476,1.18781469045151
100,"Two-step",477,1.50398619203354
100,"Two-step",478,1.13623758487568
100,"Two-step",479,2.02174402624737
100,"Two-step",480,1.43694674125668
100,"Two-step",481,1.61434842113167
100,"Two-step",482,1.41130054842036
100,"Two-step",483,1.41359380198554
100,"Two-step",484,1.61162736497963
100,"Two-step",485,1.52088462332789
100,"Two-step",486,1.68374680363489
100,"Two-step",487,1.3242529034029
100,"Two-step",488,2.28533103226618
100,"Two-step",489,1.40436998330278
100,"Two-step",490,1.41673300040061
100,"Two-step",491,1.99728576028076
100,"Two-step",492,1.40472690412536
100,"Two-step",493,1.30089428295126
100,"Two-step",494,1.60833200567306
100,"Two-step",495,1.06511721231457
100,"Two-step",496,1.38061394814033
100,"Two-step",497,1.6058050535556
100,"Two-step",498,2.70305633963768
100,"Two-step",499,1.59877978928411
100,"Two-step",500,1.14428331188072
100,"Two-step",501,1.97695382272536
100,"Two-step",502,1.75997191178774
100,"Two-step",503,1.67111970993516
100,"Two-step",504,1.08808959014734
100,"Two-step",505,1.70681264614669
100,"Two-step",506,1.77717781731826
100,"Two-step",507,1.74618288846122
100,"Two-step",508,1.39981957292846
100,"Two-step",509,1.8019599506395
100,"Two-step",510,2.33851749894945
100,"Two-step",511,1.14573714670542
100,"Two-step",512,1.33903853229646
100,"Two-step",513,1.34287265268683
100,"Two-step",514,1.62473147233899
100,"Two-step",515,1.28115340489397
100,"Two-step",516,1.42738178000434
100,"Two-step",517,1.77992735279731
100,"Two-step",518,1.77892003381248
100,"Two-step",519,2.01676186498444
100,"Two-step",520,0.992646854873735
100,"Two-step",521,1.1391540900034
100,"Two-step",522,2.66094358924837
100,"Two-step",523,1.40132358876996
100,"Two-step",524,1.57795464844315
100,"Two-step",525,2.221444814338
100,"Two-step",526,1.6075966806495
100,"Two-step",527,1.39424443071184
100,"Two-step",528,1.29582658965885
100,"Two-step",529,2.13498158964978
100,"Two-step",530,1.63608280321352
100,"Two-step",531,1.23882653797717
100,"Two-step",532,1.8911512906088
100,"Two-step",533,1.79103128570592
100,"Two-step",534,1.5571682634397
100,"Two-step",535,1.06560600652121
100,"Two-step",536,1.25049139761442
100,"Two-step",537,2.02054788601731
100,"Two-step",538,1.72856498397095
100,"Two-step",539,1.62320448227457
100,"Two-step",540,1.34802000325526
100,"Two-step",541,1.51327865129649
100,"Two-step",542,1.09850140635807
100,"Two-step",543,1.59533768084194
100,"Two-step",544,1.81765498310037
100,"Two-step",545,1.49408567739544
100,"Two-step",546,1.29082018562758
100,"Two-step",547,2.33340988665405
100,"Two-step",548,1.5456237148924
100,"Two-step",549,2.03280926150272
100,"Two-step",550,1.16454782804538
100,"Two-step",551,1.10262864234455
100,"Two-step",552,1.24452067363444
100,"Two-step",553,1.60778332965687
100,"Two-step",554,1.30567172555582
100,"Two-step",555,1.51032257350763
100,"Two-step",556,1.84371242676651
100,"Two-step",557,1.91574497269222
100,"Two-step",558,1.60446090705683
100,"Two-step",559,1.28086814392272
100,"Two-step",560,1.72907659655274
100,"Two-step",561,2.42250044133569
100,"Two-step",562,1.48888270940133
100,"Two-step",563,1.36781382972204
100,"Two-step",564,1.35559557035442
100,"Two-step",565,1.25452733300085
100,"Two-step",566,1.20057425820293
100,"Two-step",567,1.53137628977492
100,"Two-step",568,1.92222806674155
100,"Two-step",569,1.46385127291607
100,"Two-step",570,1.57491038550928
100,"Two-step",571,1.73667648850023
100,"Two-step",572,1.78415274875329
100,"Two-step",573,1.33521573992407
100,"Two-step",574,1.57918749579086
100,"Two-step",575,1.64207554836609
100,"Two-step",576,1.65023409788132
100,"Two-step",577,1.9005897719292
100,"Two-step",578,1.83149763079437
100,"Two-step",579,2.03019906952766
100,"Two-step",580,1.60141403867863
100,"Two-step",581,1.89231726627064
100,"Two-step",582,1.61983556053163
100,"Two-step",583,1.34151481872686
100,"Two-step",584,1.04822618273184
100,"Two-step",585,1.07543697753522
100,"Two-step",586,2.03503235037399
100,"Two-step",587,1.63520985215657
100,"Two-step",588,1.69160093312585
100,"Two-step",589,0.980371302691179
100,"Two-step",590,1.16487033546329
100,"Two-step",591,1.4482601205114
100,"Two-step",592,1.76265665700395
100,"Two-step",593,1.39218895797429
100,"Two-step",594,1.40496152623397
100,"Two-step",595,1.15917120455023
100,"Two-step",596,0.896170285150599
100,"Two-step",597,1.29662937677443
100,"Two-step",598,1.22227060703047
100,"Two-step",599,1.75275585976905
100,"Two-step",600,1.57041327972341
100,"Two-step",601,1.55345986808075
100,"Two-step",602,1.40128394646238
100,"Two-step",603,1.84782593072704
100,"Two-step",604,1.25602944183913
100,"Two-step",605,1.63133081701442
100,"Two-step",606,1.26548071150419
100,"Two-step",607,1.71109983194673
100,"Two-step",608,1.94835839401498
100,"Two-step",609,1.70186081830829
100,"Two-step",610,1.5844646446517
100,"Two-step",611,1.44283976820477
100,"Two-step",612,1.59849641431804
100,"Two-step",613,1.33219402987736
100,"Two-step",614,1.1611694917419
100,"Two-step",615,1.37492791159819
100,"Two-step",616,1.24744209790897
100,"Two-step",617,1.94826392191058
100,"Two-step",618,0.868514887208203
100,"Two-step",619,1.58966677504833
100,"Two-step",620,1.40268830862779
100,"Two-step",621,1.42438866079132
100,"Two-step",622,1.49873692104524
100,"Two-step",623,1.82673832280033
100,"Two-step",624,1.37732100349934
100,"Two-step",625,1.46202149305447
100,"Two-step",626,1.43541782892896
100,"Two-step",627,2.44238040443128
100,"Two-step",628,1.21313896212063
100,"Two-step",629,1.42108339874602
100,"Two-step",630,1.69606464964338
100,"Two-step",631,1.70174741254788
100,"Two-step",632,1.70856045841289
100,"Two-step",633,1.162873239303
100,"Two-step",634,1.29045879676494
100,"Two-step",635,1.02467571640197
100,"Two-step",636,1.43573894072703
100,"Two-step",637,2.30273904782428
100,"Two-step",638,2.08151163364572
100,"Two-step",639,1.50410035859474
100,"Two-step",640,1.23678342097189
100,"Two-step",641,2.38574805290937
100,"Two-step",642,1.32750578197576
100,"Two-step",643,1.78347400900414
100,"Two-step",644,1.71497350185049
100,"Two-step",645,1.78874764553279
100,"Two-step",646,1.52566695268615
100,"Two-step",647,1.43315668884383
100,"Two-step",648,2.02314739263894
100,"Two-step",649,2.4135566594235
100,"Two-step",650,1.82685856607547
100,"Two-step",651,2.23422409644771
100,"Two-step",652,1.28170115907746
100,"Two-step",653,1.49719548587694
100,"Two-step",654,1.89515439131076
100,"Two-step",655,1.49370358523208
100,"Two-step",656,1.10677826366741
100,"Two-step",657,1.78167820932955
100,"Two-step",658,1.69079880155844
100,"Two-step",659,2.34092927403659
100,"Two-step",660,1.09313480319989
100,"Two-step",661,1.04167923396978
100,"Two-step",662,1.79156469856781
100,"Two-step",663,1.878575136061
100,"Two-step",664,1.43112222786376
100,"Two-step",665,1.04201187156856
100,"Two-step",666,1.39151542473282
100,"Two-step",667,1.53918250907153
100,"Two-step",668,1.28574856871037
100,"Two-step",669,1.4397373246768
100,"Two-step",670,1.36812153240275
100,"Two-step",671,1.34398603090498
100,"Two-step",672,2.27793499080337
100,"Two-step",673,1.58186772748797
100,"Two-step",674,2.22770959626168
100,"Two-step",675,1.76369539854196
100,"Two-step",676,1.58624219935558
100,"Two-step",677,2.244785293609
100,"Two-step",678,1.57630031988051
100,"Two-step",679,1.88361790862115
100,"Two-step",680,1.27329807701721
100,"Two-step",681,1.93174253561406
100,"Two-step",682,1.42693613907051
100,"Two-step",683,1.51467042753305
100,"Two-step",684,1.85048400664934
100,"Two-step",685,1.42953708899311
100,"Two-step",686,1.75481124839007
100,"Two-step",687,1.52667626998726
100,"Two-step",688,1.08291658019784
100,"Two-step",689,1.57673671176744
100,"Two-step",690,1.5363003908069
100,"Two-step",691,1.30650339158905
100,"Two-step",692,1.22708483236393
100,"Two-step",693,2.30829797949199
100,"Two-step",694,1.4448251030772
100,"Two-step",695,2.36783126786008
100,"Two-step",696,1.54904594191991
100,"Two-step",697,1.61607906345062
100,"Two-step",698,1.17459595907295
100,"Two-step",699,1.08251894809881
100,"Two-step",700,1.52719209259925
100,"Two-step",701,1.39193014556397
100,"Two-step",702,1.47152485672216
100,"Two-step",703,0.892169535385179
100,"Two-step",704,0.802599027082714
100,"Two-step",705,1.31610804007772
100,"Two-step",706,0.941546656808207
100,"Two-step",707,1.51793362958969
100,"Two-step",708,2.0279630201585
100,"Two-step",709,1.27338249610985
100,"Two-step",710,2.00738459453277
100,"Two-step",711,0.842815299393292
100,"Two-step",712,1.6247154489569
100,"Two-step",713,1.27888643747064
100,"Two-step",714,1.45330184790267
100,"Two-step",715,1.85830522271426
100,"Two-step",716,1.54539910102004
100,"Two-step",717,1.56052131708452
100,"Two-step",718,1.20709321730619
100,"Two-step",719,1.66942657262277
100,"Two-step",720,0.950663015022837
100,"Two-step",721,1.79219216794335
100,"Two-step",722,1.29718887015247
100,"Two-step",723,1.56056159583717
100,"Two-step",724,1.43410434739672
100,"Two-step",725,1.10696991693804
100,"Two-step",726,2.08911433457723
100,"Two-step",727,1.71012402786791
100,"Two-step",728,1.63015306351606
100,"Two-step",729,1.93672472280062
100,"Two-step",730,1.21587910175022
100,"Two-step",731,2.71894201063579
100,"Two-step",732,1.45190241396778
100,"Two-step",733,1.52725042585924
100,"Two-step",734,1.11886142303373
100,"Two-step",735,1.27404790306638
100,"Two-step",736,1.72214473250565
100,"Two-step",737,1.16807344925938
100,"Two-step",738,1.83182679503821
100,"Two-step",739,1.8988018735593
100,"Two-step",740,1.40988234974737
100,"Two-step",741,1.45793539783395
100,"Two-step",742,1.63904074249466
100,"Two-step",743,1.41964049587001
100,"Two-step",744,1.23636133445037
100,"Two-step",745,1.91585792795735
100,"Two-step",746,2.28689727445527
100,"Two-step",747,2.40522889188396
100,"Two-step",748,1.59519759286261
100,"Two-step",749,1.6798481781889
100,"Two-step",750,1.54225098899295
100,"Two-step",751,1.24469658466104
100,"Two-step",752,1.53410314393982
100,"Two-step",753,1.62103309677789
100,"Two-step",754,1.62501259497059
100,"Two-step",755,1.13902603204775
100,"Two-step",756,2.05232101266386
100,"Two-step",757,1.16452190859177
100,"Two-step",758,1.67209034132553
100,"Two-step",759,1.51894775254705
100,"Two-step",760,1.64180193811068
100,"Two-step",761,2.0341457670117
100,"Two-step",762,0.850270783273673
100,"Two-step",763,1.36603587849005
100,"Two-step",764,1.4509901071255
100,"Two-step",765,1.54947677902692
100,"Two-step",766,1.5940851534657
100,"Two-step",767,2.1213384776478
100,"Two-step",768,1.6601301278139
100,"Two-step",769,1.43805657544169
100,"Two-step",770,1.41547654608047
100,"Two-step",771,1.51965070707066
100,"Two-step",772,1.47864848957566
100,"Two-step",773,1.55185627971652
100,"Two-step",774,2.20386905855499
100,"Two-step",775,1.30221918181516
100,"Two-step",776,1.39173832018031
